id,category,name,total_ingredients,base_energy,max_energy_lv70,ing1,qty1,ing2,qty2,ing3,qty3,ing4,qty4
s16,salad,ムラっけチョコミートサラダ,23,3665,13121,cacao,14,sausage,9,,
s17,salad,うるおいとうふサラダ,24,3113,11145,soy,15,tomato,9,,
s18,salad,ばかぢからワイルドサラダ,23,3046,10905,sausage,9,potato,3,egg,5,ginger,6
s19,salad,モーモーカプレーゼ,23,2942,10532,milk,12,oil,5,tomato,6,
s20,salad,めんえきねぎサラダ,15,2845,10185,leek,10,ginger,5,,
s21,salad,みだれづきコーンサラダ,17,2785,9970,oil,8,corn,9,,
s22,salad,メロメロりんごのチーズサラダ,23,2655,9505,milk,5,oil,3,apple,15,
s23,salad,ねっぷうとうふサラダ,16,2114,7568,soy,10,herb,6,,
s24,salad,ゆきかきシーザーサラダ,16,1898,6795,milk,10,sausage,6,,
s25,salad,あんみんトマトサラダ,8,1045,3741,tomato,8,,,,,,
s26,salad,マメハムサラダ,8,978,3501,sausage,8,,,,,,
s27,salad,とくせんリンゴサラダ,8,855,3061,apple,8,,,,,,
d1,dessert,みつあつめチョコワッフル,115,25484,91233,cacao,21,oil,28,honey,38,corn,28
d2,dessert,ドキドキこわいかおパンケーキ,103,24354,87187,egg,24,tomato,29,honey,32,pumpkin,18
d3,dessert,ドオーのエクレア,102,20885,74768,cacao,30,milk,26,honey,22,coffee,24
d4,dessert,スパークスパイスコーラ,87,17494,62629,leek,20,apple,35,ginger,20,coffee,12
d5,dessert,フラワーギフトマカロン,77,13834,49526,cacao,25,milk,10,egg,25,honey,17
d6,dessert,おちゃかいコーンスコーン,67,10925,39112,milk,9,apple,20,ginger,20,corn,18
d7,dessert,グラスミキサースムージー,48,8165,29231,milk,14,tomato,16,avocado,18,,
d8,dessert,プリンのプリンアラモード,55,7594,27187,milk,10,apple,10,egg,15,honey,20
d9,dessert,かたやぶりコーンティラミス,40,7125,25508,milk,12,corn,14,coffee,14,,
d10,dessert,はやおきコーヒーゼリー,42,6793,24319,milk,14,honey,12,coffee,16,,
d11,dessert,だいばくはつポップコーン,36,6048,21652,milk,7,oil,14,corn,15,,
d12,dessert,ちからもちソイドーナッツ,35,5547,19858,soy,16,cacao,7,oil,12,,
d13,dessert,ネロリのデトックスティー,35,5065,18133,apple,15,ginger,11,mushroom,9,,
d14,dessert,ふくつのジンジャークッキー,35,4921,17617,cacao,5,egg,4,honey,14,ginger,12
d15,dessert,あくまのキッスフルーツオレ,35,4734,16948,cacao,8,milk,9,apple,11,honey,7
d16,dessert,あまいかおりチョコケーキ,24,3378,12093,cacao,8,milk,7,honey,9,,
d17,dessert,はなびらのまいチョコタルト,22,3314,11864,cacao,11,apple,11,,,
d18,dessert,はりきりプロテインスムージー,23,3168,11341,soy,15,cacao,8,,,
d19,dessert,おおきいマラサダ,23,3015,10794,milk,7,oil,10,honey,6,,
d20,dessert,マイペースやさいジュース,16,1924,6888,apple,7,tomato,9,,,
d21,dessert,かるわざソイケーキ,15,1924,6888,soy,7,egg,8,,,
d22,dessert,ひのこのジンジャーティー,16,1913,6849,apple,7,ginger,9,,,
d23,dessert,じゅくせいスイートポテト,14,1907,6827,milk,5,potato,9,,,
d24,dessert,ねがいごとアップルパイ,16,1748,6258,milk,4,apple,12,,,
d25,dessert,クラフトサイコソーダ,9,1079,3863,honey,9,,,,,,
d26,dessert,とくせんリンゴジュース,8,855,3061,apple,8,,,,,,
d27,dessert,モーモーホットミルク,7,814,2914,milk,7,,,,,,
